Name|Description|Website|Keywords|Categories|People|Address|City|State|Zipcode|Phone Number|Email
Bhe International Inc|BHE International Inc is an import and wholesale company. We carry a large variety of products such as Religious Statue, Wild Animals , Home Decoration and Kitchenware. We will have many items for show special, price is up to 50% off.|http://www.bheii.com||General Gifts, Religious / Spiritual, Furniture / Lamps / Lighting|Tina Li|1608 Beach St. Montebello|California|CA|90640|(323) 725-6668|sales@bheii.com
Bilco & Associates Inc|Since 1977 Bilco has been a great source for retail, dollar store and internet products as well as promotional items. Products include – closeouts, bags, stationery, drinkware, electronics, food storage, sporting goods, watches, toys, computer accessories, tools and more. If it doesn’t eat or go stale you might find it here.|http://www.bilcoonline.com|closeouts, bags, stationery, drink ware, electronics, food storage, sporting goods, watches, toys, computer accessories, tools, flowers. phone accessories|Cameras / Tablets / Drones / MP3 Players / Home / Entertainment Audio etc., Closeouts / Liquidation, Dollar Store Items, Promotional Products, Camping / Outdoor Recreation|William Indelli|2N780 Fair Oaks Rd|West Chicago|IL|60185|(630) 293-9900|info@bilcoonline.com
Blanche Design Co.|Our hope in launching Blanche Design Co. is to approach Interior Design in a fun and meaningful way. We believe that Interior Design is the enhancement of everyday life and should reflect your personality. Interior Design should be functional, comfortable and timeless. It should showcase the inherent beauty of each and every material used and should be cohesive as a whole. If executed correctly, Interior Design should inspire a beautiful life.|https://www.blanchedesignco.com/||Fashion Jewelry / Watches|Peter Kwon|50 3rd Ave|Brooklyn|NY|11232||hello@blanchedesignco.com
Bling And Beadable Warehouse|We provide beadable items, beads and focals to design the beadable items. Beadable products allows a person to design the pen's body which is a metal bar which is blank . The bar is designed to hold beads or other decorative elements. The top and bottom of the pen usually have removable caps, allowing users to insert beads and customize them. Great for gifting, crafting and side hustles. We also have numerous products with rhinestones for those sparkly people. These products are amazing for gifting. Some items are miscellaneous such as blingy phone charges with all 3 charges, power banks, pencil cups and tumblers. The other rhinestone sets are in the beauty category but perfect gifts. These include make-up brushes, hair brushes, pocket an make-up mirrors and make-up brush sets that come with a matching case that swivels. And yes! Everything is blinged and sparkly. Swarovsky comparable rhinestones for extra sparkle and made with high quality materials.|https://www.tiktok.com/@blingus1?_t=8k08OuVDI9j&_r=1|beads, rhinestones, beauty, crafts, gifts, hair,|Cosmetics / Nails / Hair Products, General Merchandise, Art / Craft / Hobby, General Gifts, Handmade|Kyla Verville||||||
Bollywood Spas/ Beauty By Yaz|Bollywood Spas formally known as Bollywood Threading was established in 2009 by Yasmen Choudry (Jasmin).She has made her way into skincare not only because it made her happy, but because she knew she could make other happy. Jasmin is a license Esthetician, certified holistic body sculptor, certifiedmake-up artist and a certified micro-blading artist. At Bollywood Spas you can expectquality experience, Compassionate care and great satisfaction from our staffWe offer inclusive services to look & feel your best.|https://www.bollywoodspas.com/|||Yasmeen Choudry|12238 Foothill Blvd|Rancho Cucamonga|CA|91739|(909) 899-3211|bollywoodthreading@yahoo.com
Book Viking||https://bookviking.com/|||Brian Ward|155 W Main Street|Rexburg|ID|83440|(208) 359-6190|
Boulder International||http://www.bouldervape.com||CBD or other Cannabinoids, Vape|Jeff Whitford, Nancie Karaitis||||||
Brand Name Distributors|Brand Name Distributors have the best prices on brand name products at a wholesale price. We have all kinds of merchandises such as food, paper, candy, coffee, tea and other general store produce. We are a wholesale supply over 2,000 products. You can buy bulk wholesale products for a discounted price; we promise the cheapest prices and the best deals on our promotional products. Return to our site to keep updated on our newest product and the promotional prices. We frequently have discounts on items that are cheaper than other wholesale distributors.|http://brandnamedistributors.com|hba, food, general merchandise, closeouts, discontinued, paper, private label brands, scented candles, trash bags, travel size, otc, chocolate|Travel Size / Over-the-Counter, Closeouts / Liquidation, General Merchandise|Diana S|175 Central Ave S|Bethpage|NY|11714|(718) 643-1141|admin@brandnamedistributors.com
Brands International|Brand Name Closeouts, Promotional Goods, and Kitchen Linens.|http://LNDsales.com||Closeouts / Liquidation, General Merchandise, Kitchen / Tabletop / Cookware / Cutlery / Small Appliances|Lawrence Schiff||||||
Brangio (Italy) Company Inc.|www.brangio.com We are the One of Largest Unique Lady's Handbag and Carry On Luggage Designer and Manufacturer Los Angeles, U.S.A. We have best design, quality and hot selling Lady's handbags & Carry-On Luggages. Matching Wallets, Handbags & Luggages => Travel with Personality!|http://www.brangio.com||Handbags, Wedding / Bridal, Luggage / Travel Accessories|Edward Eng||||||
Brentwood Appliances, Inc.|We at BRENTWOOD APPLIANCES, carry variety of small electric kitchen Appliances; such as: Air Fryers, Blenders, Toasters, Toaster Ovens, Slow Cookers, Rice Cookers, Panini, Sandwich, and Waffle makers, Deep Fryers, Microwave Ovens, BBQ Grills, Coffee Makers, etc... We also carry Cookware, Cooler Boxes, Cooler Bags, variety of Thermo Flasks, all sizes of Electric Fan & Heaters.|http://www.brentwoodus.com||Travel Size / Over-the-Counter, General Merchandise, General Gifts, Kitchen / Tabletop / Cookware / Cutlery / Small Appliances, Sporting Goods|Beni Panahi, Maurice Araghi||||||
Brian Trading Co.|Supplier of retail linen, sheet sets, bedding, bed in bags, comforter sets, rugs, mats, towels and other home decor. One of the largest suppliers of closeouts in the US with some of the biggest brand names available. Located in Miami close to major ports for international shipping.|https://www.bnsjewelry.com/||Bed / Bath, Interior Décor (Curtains, Wall Art, etc.), Kitchen / Tabletop / Cookware / Cutlery / Small Appliances|Joshua Sherriton|6440 W. 20th Avenue|Hialeah|FL|33016|(305) 651-5020|sales@briantrading.com
Briarwood Lane Home & Garden Decor|Briarwood Lane manufacturers and produces premium quality indoor and outdoor decor. Through pricing, section and service, our goal is to add as much value to your business as we're able to. By leveraging modern technologies and proprietary processes, we’ve been able to create many operational efficiencies that allow us to provide premium quality products at nearly half the price of our competition. Briarwood Lane is partnered with some of the top artist in this industry. This allows for us to respond to popular trends and offer unique artwork on all of our products. Please feel free to swing by our booth. We would love to learn about your business and see how we can add value!|http://www.briarwoodlane.com||General Merchandise, General Gifts, Outdoor Living / Décor, Collegiate / Major League Sports, Other Holiday|Robert Chmura|||||(844) 493-1144|
Broadway Gifts Co.|Broadway Gifts Company is the number one wholesaler & importer of Miniature Musical Instruments. We carry a variety of wooden and brass miniature instruments in the form of Christmas ornaments, pins, jewelries, music boxes, hurdy gurdys, metal musicians and magnets. We also carry miniature ships in the form of music boxes, ornaments & magnets. Our miniatures include orchestral, rock music and other cultural music instruments.|http://www.broadwaygift.com|unique, musicals, fine gifts, ornaments, magnets, gifts, miniatures, figurines, pins, fashion jewelries, music boxes, wall decorations, clocks, jewelry boxes, music instrument models, trophies, picture frames, mugs, cuffs, earrings, pendants, wine bottle holders, souvenirs, ballerina boxes|General Gifts, Keepsakes / Collectibles, Souvenirs, Handmade, Christmas|Derek Dai||||||sales@broadwaygift.com, sales@broadwaygift.com
Bss Jewelry|BSS Jewelry by Bobby Duggal is the Designer, Manufacture and Wholesaler of Artisan Sterling Silver Jewelry, we are serving the Industry since 2000 as the supplier of Sterling Silver jewelry with Best quality and pricing. We serve Retailers , Boutiques, Chain Stores , Online Retailers, Catalog jewelry stores. Bobby Duggal, an accomplished designer has been successfully creating jewelry of exquisite elegance since 2000. Our designs are made with nickel free 92.5 Sterling silver and are meticulously hand crafted by our skilled Artisans using the finest quality semi precious stones. Glance our One Of A Kind Wearable Art, The line is fresh and unique. Please come by our booth and witness it yourself.||hand crafted, artisan sterling silver, jewelry with semi precious gem stones, including gemstone rings, necklaces, bracelets, earrings , spin rings|Handmade, Silver / Semi Precious|Bobby Duggal, Aabha Duggal|1471 Pomona Rd|Corona|CA|92882|(714) 869-5424|frankrivera@bssjewelry.net
Bulltees Llc|Bulltees Unique rhinestone tees for men and women, Rhinestone hoody, beanie, T Shirt Brand, 'Shiny for cutting edge trendy fashion for women!!|http://www.bulltees.com|women rhinestone tee, beauty salon rhinestone apron, rhinestone legging, rhinestone shirt men's, rhinestone t shirts, rhinestone beanie, rhinestone hoody|Men's Apparel, Women's Apparel|Connie Park|3229 Ayers St|Corpus Christi|TX|78415|(361) 887-8184| bulltees@gmail.com
Butterflies And Myths Llc|MYTHS LLC Peruvian company based in U.S. we have over 15 years in the Sterling Silver Jewelry Market. We work with real butterfly wings, all our work and design is handmade in Peru. No Butterflies is harmed in the process! All butterflies comes from butterfly farms and they live their full lifespan, about 1 month and all the process is sustainably harvested. This activity encourage native people to grow rainforest environment for the butterflies and it is a source of income for their community. Yolanda Ormachea 'I was very close to my grandma, I grew up with her. When|http://www.butterfliesandmyths.com||Fashion Jewelry / Watches, Art / Craft / Hobby, Handmade, Fine Jewelry / Watches (Diamonds, Gemstones, Gold), Silver / Semi Precious|Yolanda Ormachea, Daniel Steve Medina||||||
Buyers Warehouse||https://thebuyerswarehouse.com.au/|||Dawn Klem||||||sales@thebuyerswarehouse.com.au
Buzzpark Usa||https://buzzpark.com/|||Mustafa Ziya Arikan|P.O. Box 1142|West End|NC|27376|(910) 995-5042|info4buzzpark@buzzpark.com
C & K Import Designs Inc|C&K Import Designs has been specialized in importing unique, fashion products at reasonable prices. With over 20 years of experience, C&K continues to provide customers with great prices, quality products, and good customer service. C&K imports items such as tote bags, cosmetic bags, jewelry rolls, messenger bags, lunch bags, I-pad bags, duffel bags, backpacks, beach bags, mesh bags, cooler bags, coin purses, cosmetic pencil cases, foldable umbrellas, utility bags, wine totes, round beach towels, and much, much more. We specialize in creating fashionable designs, good quality, and low pricing. Our target markets are retailers, wholesalers, fundraisers, and promotional companies. We provide our products to companies of all sizes, from mom and pop small boutiques to large retailers and or wholesalers. For large retailers, we provide customized packaging and lab|http://www.candkimportdesigns.com|handbags, baby/kids products, general gifts, luggage,travel accessories, office school supplies, tote bag, cosmetic bag, jewelry roll, messenger bag, lunch bag, tablet bag, duffel bag, backpack, beach bag, mesh bag, cooler bag, coin purse, cosmetic pencil case, foldable umbrella, kids umbrella|Handbags, Baby / Kids Products, General Gifts, Luggage / Travel Accessories, Office / School Supplies|Kitty Lam.|5377 Brooks Street|Montclair|CA|91763|(909) 625-8899|​kitty@candkimportdesigns.com
C & S Trading ( Handbag)|Import & Wholesale western style handbags, wallets and accessories.|http://www.cshandbags.com||Handbags, Small Leather Goods (Belts, Wallets, etc), Women's Footwear|Steve Chen||Dallas|TX||(972) 484-5900|cshandbags@sbcglobal.net
C&R Discount Inc|We are a general wholesale company that sales products to be resold. All items are sold in either inner packs or case packs. Located in Iowa. We sell Dream Catchers/Mandalas, Hats, Novelties, Tools, Metal Signs, Tents, Aluminum Carts with Seats, Steel Carts with Seats, Steel Carts without Seat, Pricing Guns/Labels, Paper Tags, and Close Outs.|http://www.crdiscount.com|dream catchers, metal sign, hats, tool, baseball cap, novelties, carts, tent, pricing labels, mandala, close outs, metal signs|Hats / Scarves, Closeouts / Liquidation, General Merchandise|Randy Schlenker, Tabitha Goodale|06 Prairie Dr., SW|Bondurant|IA|50035|(515) 967-0227|orders@crdiscount.com
Cala Products|We have been dedicated to bring you the The Best in Everyday Beauty. Our broad assortment boasts skincare products, cosmetic tools, personal care items, spa essentials, Hand Sanitizer, Protective Masks, Sanitizing Tissues and more, all at a premium value at reasonable and competitive prices We stay up on allthe newest beauty technologies, working directly with leading manufacturers to carefully select and develop each and every products . Our combination of quality , attractive packaging, and superb value has proven to be a successful formula world wide.|http://www.calaproduct.com|spa, bath, skincare care line, manicure, pedicure, personal care implements, cosmetic sponges, makeup brushes, hair brushes, nails|Cosmetics / Nails / Hair Products, Wellness / Personal Care, Dollar Store Items, Bed / Bath, Christmas|Kenny Ha|3121 S Main St|Los Angeles|CA|90007|(213) 745-5141|customerservice@calaproduct.com
California Sunglasses, Inc.|Sunglasses & Eyewear||sunglasses|Sunglasses / Eyewear|Chuck Liu|17800 S Main St|Gardena|CA|90248|(310) 324-6688|
Calplush Toy Corporation|Calplush Toy Corporation is a manufacturer of affordable, high quality plush toys to several niche markets worldwide. Calplush has been in business for over 25 years providing the highest quality plush, innovative designs, best pricing, and commitment to outstanding customer service. Calplush serves markets in the gift and toy industries, amusement parks, skill crane operators, redemption centers, supermarket chain stores, drug store chains, mass market, dollar/discount stores as well as promotional and corporate gift industries.|http://www.calplush.com||General Merchandise, General Gifts, Pet Products, Plush, Toys / Figures|Walter Davila|3575 S. Santa Fe Ave.|Vernon|CA|90058|(323) 582-6689|customerservice@calplush.com
Capsmith Inc.|Capsmith, Inc. is a headwear & Baseball cap manufacturing and wholesale production company located in Sanford, Florida with over 37 years in headwear expertise. We currently provide wholesale headwear to distributor, Jobbers, as well as souvenir, beach stores, gift shops, western stores, and other diverse headwear markets that trust us to find what they are looking for. We are trusted by many major private labels to deliver headwear that sells while maintaining a high set of quality standards. We are American owned and operated, with a domestic production facility of 120 embroidery heads and in-house art staff consisting of 5 graphic artist and digitizing staff. We stock Thousands of current trending designs as well as Military Caps, Flags, Automotive Logo's, NASCAR, Biker , trucker, Western and outdoor headwear.|http://www.capsmith.com|headwear, import & distribution, baseball caps, doo-rags, head wraps, face masks, flags, winter headwear, color my cap, cooling towels, cooling headbands, printed microfiber towels, solar sleeves, big eye critter hats, licensed products, army, navy, air force & united states marines, pow, thank a vet, hunting, fishing, ladies headwear, western, straw hats|Hats / Scarves, Souvenirs, Made in the USA|Dan Smith, Adam Allen|2240 Old Lake Mary Rd|Sanford |FL|32771|(800) 228-3889|sales@capsmith.com
Caramax Corporation|C-STORE DISTRIBUTOR, PHONE ACCESSORIES, CUSTOM JEWELRY, CLOTHING, HATS, NOVELTY ITEM|http://www.icaramax.com|c-store distributor, phone accessories, custom jewelry, clothing, hats, novelty item|Hats / Scarves, Cell Phone Accessories / Wearables / Headphones / Speakers, General Merchandise|Paul Kim|950 Pratt Blvd|ELK Grove Village|IL|60007|(630) 543-2500|sales@icaramax.com
Caris Imports|We manufacture, import various fashion/rhinestone,cubic jewelries/accessories and distribute them throughout the U.S as well as South America.|https://www.carisimports.com|rhinestone, cubic, zirconia, wedding, hair comb, necklace, earring, bracelet, tiara, party, social, oem|Fashion Jewelry / Watches, Handmade, Silver / Semi Precious|Steven Kim|||||(213) 278-0581|
Carrier Co.|Carrier Co. is a fashion accessories brand based in Europe created for the contemporary and fashion conscious woman. Our handbags are understated in design, offering timeless yet fashionable pieces. We use minimal branded hardware, and we are thrilled to be using recycled lining (made from plastic bottles) as we strive to work towards a more sustainable future.|http://www.carriercodesign.com|handbags, backpack, small leather goods, party bags, evening bags, accessories, crossbody bag, shoulder bag, clutch, tote, shopper, baguette, purse, vegan leather, nylon, lace, embroidery, applications, mini bag, woman, girl, wedding, bridal bags, bridal party|Handbags, Small Leather Goods (Belts, Wallets, etc)|Joana Marques||||||
Catena Design Inc|COSTUME JEWELRY, FASHION ACCESSORIES, EARRINGS, RINGS, NECKLACES, BRACELETS, HAIR ACCESSORIES, ANKLETS, HAIR BOWS, HEADBANDS, TWISTERS, TOE RINGS,|https://asd.a2zinc.net/|costume jewelry, fashion accessories, earrings, rings, necklaces, bracelets, hair accessories, anklets, hair bows, headbands, twisters, toe rings,|Fashion Jewelry / Watches|Sang Song|94 Bergen Tpke|Little Ferry|NJ|07643|(201) 654-7472|vasiliszygouris@gmail.com
Cb Distributors, Inc.|CB Distributors, Inc. has supplied convenience stores and distributors with a wide variety of products for over 30 years. In addition to offering products that feature the latest technology, highest quality and competitive pricing, customer satisfaction is a top priority. CB Distributors has the unique ability to ascertain the potential of coming trends, to innovate and package as necessary, and to consistently maintain quality and safety of all our products. We offer extensive experience with distributors, national wholesale and retail accounts, as well as the financial resources and inventory to do business with anyone. Our competitive prices and wide range of products makes us a one-stop shop! In addition to offering products that feature the latest technology, highest quality and competitive pricing, CB also cares about our customers. Customer satisfaction is a top priority and is part of why CB remains such a successful company today.|https://www.cbprices.com||Herbal Supplements, Snacks / Candy / Energy / Drinks, Cell Phone Accessories / Wearables / Headphones / Speakers, General Merchandise, Novelties (Humor, Gags & Pranks, Drinking Accessories etc)|Carlos Bengoa, Becky Weis|2500 Kennedy Drive|Beloit|WI|53511|(608) 368-9909|cb-orders@cbdistributorsinc.com
Cellsnapp!™||https://cellsnapp.com/|2 phone solutions, cellsnapp, carsnaapp, cadisnapp, double phone case, double phone holder, double phone wallet, dual phone case, double phone carrier, universal phone case, 2 phone case, 2 phone holder, 2 phone carrier, dual phone carrier, dual phone holder, double phone holster, universal cell phone carrier, dual phone pouch, dual phone wallet, 2 phone wallet, 2 phone holster, 2 phone clip, dual phone holster, universal phone pouch, universal phone holder|Cell Phone Accessories / Wearables / Headphones / Speakers, Luggage / Travel Accessories|Anthony J. Malach||||||
Central Supply||http://www.centralhba.com|air fresheners, baby needs, standard batteries, deodorants, roll ons, deodorants sprays, deodorants sticks, feminine hygiene, first aid, hair care , conditioners, hair care , gels, lotions, hair care, hair spray, shampoos, house hold items, oral care, mouthwash, toothbrushes, toothpaste, otc remedies, general medicine, personal care, school supplies, office supplies, shaving, razors, blades, shaving cream, shaving gels, skin care, soaps, bar soaps, bodywash, liquid soaps, spanish products|Wellness / Personal Care, General Merchandise|Morty Brand||||||
Chaby International|Chaby International has you covered. We’re an international manufacturer and distributor of umbrellas, rainwear and seasonal products. For over 50 years, we have created products for customers that demand high quality and creative designs. In any weather conditions you might encounter, Chaby International provides the ultimate solution in rain protection.|http://www.chabyinc.com|||John Bonner||||||
Challenge Wolves (Fujian) Garments Co., Ltd.||http://www.tzwolves.com||Store Displays / Fixturing / Signage / Packaging, General Merchandise, General Gifts, Promotional Products, Stationery / Party / Paper / Gift Wrap|David Zhang||||||
Chaminusa|ChaminUSA provides Various sizes capacity carts and is built to last for years. This product is ideal for house utility cart, coin-laundry, healthcare, hospitality, laundry, janitorial supply, material handling, car wash sectors and apparel factories. The cart comes standard with Axel Guard Casters (patent pending), one of the most efficient anti-lint and anti-thread wheels in the market.|https://chaminusa.com/||General Merchandise, Hardware / Tools|Justin Kyu Youn Kim||||||
Cheng'S Enterprise, Inc.|Cheng's Enterprise, Inc. importer, exporter, and wholesaler in the footwear industry. Our footwear brand, EasyUSA, Wave is widely recognized for quality, comfort, and affordability.|http://www.easyusa.com|men, women, children, footwear, water shoes, wedges, canvas lace up, slides, sandals, clogs, slippers, boy, girl sandals, kung fu shoes, mary jane, rain boots, work boots, dress shoes, moccasins, beach mat, fashion sandals, pump, umbrella|Kids / Baby Footwear, Men's Footwear, Women's Footwear|James Nguyen|68 Broad Street|Carlstadt|NJ|07072|(201) 933-9088|contact@chengsinc.com
Cheongsoo E&S Inc.||https://www.ezithome.com/|||Sungrae Jeong, Crystal Ro||||||
Chicago Import Inc.|Importer, Exporter & Distributor of General Merchandise.|http://www.chicagoimportinc.net|general merchandise, incense, toys & novelties, convenient store merchandise, gas station supplier, health & beauty products, housewares, stationary|General Merchandise|Eddie Punjabi|3811 W. Lawrence Avenue |Chicago|IL|60625|(773) 478-3200|sales@chicagoimportinc.net
China Foreign Trade Guangzhou Exhibition Co.||http://www.fairwindow.com.cn|||Anson An||||||
China Performance Group||https://cpgsourcing.com/|||Laura Dow||||||
Chl Trading (Capbanks)|CHL Trading has been in the headwear business since 2009. We provide the highest quality products by establishing a factory in Vietnam and maintaining strict quality standards. We make Q/C reports on every shipment to ensure we have achieved our high-quality goal.|http://www.chltrading.com||Hats / Scarves, General Merchandise, Promotional Products|Alex Lee Adam Park|104 E 17th St #B|Los Angeles|CA|90015|(213) 746-5002|sales@chltrading.com,  warehouse 
Chloe Jewelry & Accessories|Fine Jewelry Pre owned Authentic Designer Handbags|http://www.chloejewelry.us||Handbags, Sunglasses / Eyewear, Fine Jewelry / Watches (Diamonds, Gemstones, Gold)|Nicole Zen|P.O. Box 153|Cos Cob|CT|06807|(203) 979-8789|
Cinnamon Homeware Inc.||https://www.cinnamonhomeware.com/||Closeouts / Liquidation, Kitchen / Tabletop / Cookware / Cutlery / Small Appliances, Characters / Brands / Entertainment, Camping / Outdoor Recreation|Yiwei Li|11688 Clark St|Arcadia|CA|91006|(626) 223-6978|info@cinnamonhomeware.com
Citizen Umbrellas And Bags|We specialize in manufacturing, importing, and distributing fast fashion and affordable accessories within the global watches and jewelry market. With a focus on younger, trendsetting audiences, we stay connected to the constantly changing market trends. Our products are distributed worldwide, catering to a wide variety of audiences. We have something for everyone!|http://www.acewatcheswholesale.com||Fashion Jewelry / Watches|Vicky Lakhati||||||
Cj Global Inc|Business Name:CJ Global Inc. Business Address: 20-21 Wagaraw Rd. Fairlawn, New Jersey 07410 Business Email: Benny@shopcjglobal (Owner) Business Number: (646)415-9056|http://www.shopcjglobal.com||Cell Phone Accessories / Wearables / Headphones / Speakers|Benny Fatal|20-21 Wagaraw Road|Fair Lawn|NJ|07410|(646) 415-9056|info@shopcjglobal.com, hagay@shopcjglobal.com, aj@shopcjglobal.com, ron@shopcjglobal.com
Classic Look Inc.|We make quality leather goods. Wallets, handbags, belts and all kind of accessories|http://www.classiclookinc.com|quality leather goods, wallets, handbags, belts, leather accessoriesâ|Handbags, Small Leather Goods (Belts, Wallets, etc), Luggage / Travel Accessories|Minta .|6400 Regency Pkwy Suite #600|Norcross|GA|30071|(678) 966-0443|classiclookinc@aol.com
Classic Wholesale Perfumes|WHOLESALERS/DISTRIBUTORS OF NAME BRAND FRAGRANCES. MOST VARIETY UNDER ONE ROOF!! DROPSHIP / ONLINE COMPANIES ARE WELCOME.|http://www.classicwholesale.com|wholesalers, distributors of name brand, fragrances. most variety under one roof!! dropship, online companies are welcome|Fragrance / Perfume|Amit Bhatia|11464 Harry Hines Blvd|Dallas|TX|75229|(972) 241-2527|
Closeouts Republic||https://closeoutsrepublic.com/|olay, l'oreal, dove, neutrogena|Cosmetics / Nails / Hair Products, Wellness / Personal Care|Nathan Lati||||||
Clux Cosmetics||https://www.c-luxcosmetics.com/|||Ruben Hera|221 East 12th Street|Los Angeles|CA|90015|(213) 746-4506|cluxcosmetics1@gmail.com
Clvr Brands Llc||https://clvrbrands.com/|||Kumar Patel|924 N Magnolia Ave|Orlando|FL|32803||info@clvrbrands.com
Cocu Underwear||https://coucouintimates.com/|||Chung Yujeong||||||
Color Maple Limited|Color Maple Ltd. is a Hong Kong-based manufacturing unit specializing in the production of backpacks and back-to-school items. We have two production units in China, where we manufacture these products.|https://www.bagstoshop.com/|school, backpacks, lunch boxes, water bottles|General Gifts, Stationery / Party / Paper / Gift Wrap, Luggage / Travel Accessories, Office / School Supplies|Darshan Parekh, Thea Parekh||||||
Comeco Inc|Comeco Inc. specializes in one of the kind, novelty fashion handbags and small leather goods. We are also the official licensess of the Coca-Cola Company. We carry Coca-Cola handbags and wallets. In addition, we have handbags that fits your customer's passion. We have animal theme, musical theme, Americana theme, Alien theme, Halloween theme, Skull them...handbags and small leather goods. Come to our booth and check them out.|http://www.comecoinc.com|fashion handbags, wallets, novelty handbags, novelty wallets, skull bags, halloween bags, sugar skull bags, day of death handbags, animal handbags, halloween accessories, book clutch bags, sacred geometry crystal bags, pumpkin bags, frida bags, coca-cola|Handbags, Small Leather Goods (Belts, Wallets, etc), Souvenirs, Novelties (Humor, Gags & Pranks, Drinking Accessories etc), Plush|Rick Cheng|4515 Little John St  |Baldwin Park|CA |91706|(626) 813-9088|sales@comecoinc.com
Compass Industries|Closeouts of Name Brand office stationery and School Supplies including Papermate , Sharpie , Bic , Uniball , Mead , Thermos , Disney , Crayola , Cra-Z-art , Pentel , Pacon , Pilot , Supply Line , Westcott , LINC , Elmers and many more.|http://www.compasscloseouts.com|closeouts of name brand office stationer, school supplies, papermate , sharpie, bic, uniball, mead, thermos, disney, crayola, cra-z-art, pentel, pacon, pilot, supply line, westcott, linc, elmers,|Closeouts / Liquidation, Dollar Store Items, General Merchandise, Office / School Supplies, Games / Puzzles|Lou Pompili|10195 Northeast Avenue|Philadelphia|PA|19116|(215) 934-5803|loupompili@aol.com, mark.bellomo@yahoo.com
Conklin Fashions Inc|Conklin Fashions has been in business for 40+ years, and we would love you to stop at our booths # SL45084 & SL45085, (South Hall LOWER!) We sell 'deals' that include a free display and free shipping to anywhere in the Continental U.S. If you are outside of the Continental U.S., we will ship to your freight forwarder in the Continental U.S. for free! We sell to you for pennies on the dollar! Our popular TARAMANDA line of jewelry, TRESKA accessories, Sunglasses for adults as well as kids, Reading glasses, Kid''s accessories, hair accessories, Pre-priced Dept. store merchandise, $ .41 cent earrings, scarves, and many other items! We even carry some Name Brand jewelry that you know!|http://www.wholesalejewelry.net|wholesale jewelry, accessories, free display with qualifying order, free shipping with qualifying order, costume jewelry, pre-priced merchandise, sunglasses, reading glasses, closeouts, children''s sunglasses, children''s jewelry, children's hair accessories, cubic zirconia earrings, necklaces, brooch pins, clip-on earrings, bracelets, rings, stretch rings, semi-precious, fashion scarves, leggings, key-chains|Fashion Jewelry / Watches, Hats / Scarves, Sunglasses / Eyewear, Closeouts / Liquidation, Dollar Store Items|Ronda Reigada|9-11 Johnson St |Bainbridge|NY|13733|(1888) 563-4411|neworders@wholesalejewelry.net
Connex Ecommerce||https://beta.connexforquickbooks.com/|||Chris Hines|Lexington St|Waltham|MA|02452||
Cordbrick|Our flagship product, CordBrick, has a utility PATENT PENDING and is the first product that's both a 1 - weighted cord holder - and 2 - traveling cord wrap. PLUS, it has handy phone uses and even grabs all models of AirPods (and any dongle-type earbuds) too! Inventor 'CordBrick Nick' has other BRICK products on the way and a brand that catches the eye with a product that lives up to the hype! After winning $10k and 'Coolest Product' at an event earlier this year (and being welcomed to Amazon's exclusive Launchpad program for innovative products in January 2023), there's no doubt CordBrick appeals to a massive audience. What's more, CordBrick's 'BUILD Something' initiative aims to inspire young people to build and create something! As the saying goes, shoot for the moon and you're sure to land among the stars...|https://cordbrick.com/||Cell Phone Accessories / Wearables / Headphones / Speakers, General Merchandise, General Gifts, Office / School Supplies, Christmas|Nick Barrett||||||info@cordbrick.com
Cosmopolitan Cosmetics, Inc.|LARGEST WHOLESALE DISTRIBUTOR OF DESIGNER AND PRESTIGE PERFUME, COLOGNE, COSMETICS, SKIN CARE, PROFESSIONAL HAIR CARE, GIFT SETS, MINIATURES, TESTERS AND NOW, EXTENSIVE SELECTION OF ORGANIC CBD PRODUCTS- ALL AT EXCELLENT PRICING. IMPORTER / EXPORTER - DROP SHIPPING AVAILABLE|http://www.cosmopolitanusa.com|wholesale import, export of designer, prestige perfume, cologne, cosmetics, skin care, professional hair care, gift sets, miniatures, testers, organic cbd products - all at excellent pricing- drop shipping available|CBD or other Cannabinoids, Cosmetics / Nails / Hair Products, Fragrance / Perfume, Herbal Supplements|Shoshana Harush|145 51ST STREET|Brooklyn|NY|11232|(718) 232-6500| info@cosmopolitanusa.com
Cotton Valley Llc|Thank you for your interest in Cotton Valley. Based out of Edison, New Jersey - we proudly serve as an industry leader in the distribution and procurement of wholesale goods throughout the United States and abroad. We partner with dollar, discount, variety, hardware, drug, and convenience stores - in addition to supermarkets and fellow wholesalers - in offering a wide selection of kitchen, bathroom, cleaning, and home goods. We work with top notch vendors and factories from around the globe to ensure we can provide the best products to our clients so they can your customers what they need. With our family business roots - Cotton Valley understands the importance of dependability, trust, and commitment. Being an international busine|http://www.cottonvalley.net||Dollar Store Items, General Merchandise, Bed / Bath, Kitchen / Tabletop / Cookware / Cutlery / Small Appliances|Shahzaib Khan|96, Distribution Blvd Hellers Ind|Edison|NJ|08817|(732) 248-4276| info@cottonvalley.net
